DISTRICT,Rainfall,Month_sin,Month_cos,Date
MADURAI,35.1,0.49999999999999994,0.8660254037844387,1901-01-01
MADURAI,85.9,0.49999999999999994,0.8660254037844387,1902-01-01
MADURAI,28.9,0.49999999999999994,0.8660254037844387,1903-01-01
MADURAI,22.5,0.49999999999999994,0.8660254037844387,1904-01-01
MADURAI,0.1,0.49999999999999994,0.8660254037844387,1905-01-01
MADURAI,13.9,0.49999999999999994,0.8660254037844387,1906-01-01
MADURAI,6.4,0.49999999999999994,0.8660254037844387,1907-01-01
MADURAI,7.2,0.49999999999999994,0.8660254037844387,1908-01-01
MADURAI,88.3,0.49999999999999994,0.8660254037844387,1909-01-01
MADURAI,33.2,0.49999999999999994,0.8660254037844387,1910-01-01
MADURAI,1.3,0.49999999999999994,0.8660254037844387,1911-01-01
MADURAI,1.2,0.49999999999999994,0.8660254037844387,1912-01-01
MADURAI,0.5,0.49999999999999994,0.8660254037844387,1913-01-01
MADURAI,3.6,0.49999999999999994,0.8660254037844387,1914-01-01
MADURAI,27.6,0.49999999999999994,0.8660254037844387,1915-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1916-01-01
MADURAI,19.4,0.49999999999999994,0.8660254037844387,1917-01-01
MADURAI,71.6,0.49999999999999994,0.8660254037844387,1918-01-01
MADURAI,7.9,0.49999999999999994,0.8660254037844387,1919-01-01
MADURAI,95.6,0.49999999999999994,0.8660254037844387,1920-01-01
MADURAI,199.2,0.49999999999999994,0.8660254037844387,1921-01-01
MADURAI,17.3,0.49999999999999994,0.8660254037844387,1922-01-01
MADURAI,64.5,0.49999999999999994,0.8660254037844387,1923-01-01
MADURAI,30.2,0.49999999999999994,0.8660254037844387,1924-01-01
MADURAI,17.5,0.49999999999999994,0.8660254037844387,1925-01-01
MADURAI,55.9,0.49999999999999994,0.8660254037844387,1926-01-01
MADURAI,9.0,0.49999999999999994,0.8660254037844387,1927-01-01
MADURAI,1.3,0.49999999999999994,0.8660254037844387,1928-01-01
MADURAI,11.4,0.49999999999999994,0.8660254037844387,1929-01-01
MADURAI,18.2,0.49999999999999994,0.8660254037844387,1930-01-01
MADURAI,15.2,0.49999999999999994,0.8660254037844387,1931-01-01
MADURAI,0.4,0.49999999999999994,0.8660254037844387,1932-01-01
MADURAI,0.2,0.49999999999999994,0.8660254037844387,1933-01-01
MADURAI,118.5,0.49999999999999994,0.8660254037844387,1934-01-01
MADURAI,20.5,0.49999999999999994,0.8660254037844387,1935-01-01
MADURAI,1.9,0.49999999999999994,0.8660254037844387,1936-01-01
MADURAI,1.0,0.49999999999999994,0.8660254037844387,1937-01-01
MADURAI,0.2,0.49999999999999994,0.8660254037844387,1938-01-01
MADURAI,21.9,0.49999999999999994,0.8660254037844387,1939-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1940-01-01
MADURAI,34.9,0.49999999999999994,0.8660254037844387,1941-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1942-01-01
MADURAI,214.7,0.49999999999999994,0.8660254037844387,1943-01-01
MADURAI,5.3,0.49999999999999994,0.8660254037844387,1944-01-01
MADURAI,8.5,0.49999999999999994,0.8660254037844387,1945-01-01
MADURAI,4.4,0.49999999999999994,0.8660254037844387,1946-01-01
MADURAI,30.5,0.49999999999999994,0.8660254037844387,1947-01-01
MADURAI,37.4,0.49999999999999994,0.8660254037844387,1948-01-01
MADURAI,25.2,0.49999999999999994,0.8660254037844387,1949-01-01
MADURAI,0.1,0.49999999999999994,0.8660254037844387,1950-01-01
MADURAI,13.4,0.49999999999999994,0.8660254037844387,1951-01-01
MADURAI,16.7,0.49999999999999994,0.8660254037844387,1952-01-01
MADURAI,1.3,0.49999999999999994,0.8660254037844387,1953-01-01
MADURAI,101.0,0.49999999999999994,0.8660254037844387,1954-01-01
MADURAI,9.1,0.49999999999999994,0.8660254037844387,1955-01-01
MADURAI,42.6,0.49999999999999994,0.8660254037844387,1956-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1957-01-01
MADURAI,12.1,0.49999999999999994,0.8660254037844387,1958-01-01
MADURAI,3.2,0.49999999999999994,0.8660254037844387,1959-01-01
MADURAI,0.2,0.49999999999999994,0.8660254037844387,1960-01-01
MADURAI,45.0,0.49999999999999994,0.8660254037844387,1961-01-01
MADURAI,13.2,0.49999999999999994,0.8660254037844387,1962-01-01
MADURAI,35.8,0.49999999999999994,0.8660254037844387,1963-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1964-01-01
MADURAI,2.0,0.49999999999999994,0.8660254037844387,1965-01-01
MADURAI,16.2,0.49999999999999994,0.8660254037844387,1966-01-01
MADURAI,0.5,0.49999999999999994,0.8660254037844387,1967-01-01
MADURAI,0.7,0.49999999999999994,0.8660254037844387,1968-01-01
MADURAI,0.1,0.49999999999999994,0.8660254037844387,1969-01-01
MADURAI,3.6,0.49999999999999994,0.8660254037844387,1970-01-01
MADURAI,10.0,0.49999999999999994,0.8660254037844387,1971-01-01
MADURAI,0.8,0.49999999999999994,0.8660254037844387,1972-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1973-01-01
MADURAI,0.1,0.49999999999999994,0.8660254037844387,1974-01-01
MADURAI,1.1,0.49999999999999994,0.8660254037844387,1975-01-01
MADURAI,0.4,0.49999999999999994,0.8660254037844387,1976-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1977-01-01
MADURAI,0.0,0.49999999999999994,0.8660254037844387,1978-01-01
MADURAI,4.3,0.49999999999999994,0.8660254037844387,1979-01-01
